Time	[A]	[B]
3.995	0.00154692	445.903
4	0.00233316	443.679
4.005	0.00352683	441.467
4.01	0.00534298	439.267
4.015	0.00811213	437.078
4.02	0.0123434	434.902
4.025	0.0188225	432.738
4.03	0.0287644	430.587
4.035	0.044052	428.451
4.04	0.0676083	426.331
4.045	0.10398	424.232
4.05	0.160253	422.157
4.055	0.247491	420.115
4.06	0.38299	418.117
4.065	0.593844	416.182
4.07	0.922525	414.338
4.075	1.43568	412.63
4.08	2.23788	411.129
4.085	3.49305	409.944
4.09	5.45743	409.248
4.095	8.52944	409.314
4.1	13.3225	410.569
4.105	20.7649	413.693
4.11	32.2201	419.763
4.115	49.5853	430.492
4.12	75.2384	448.604
4.125	111.51	478.402
4.13	159.061	526.507
4.135	213.445	602.348
4.14	260.652	716.752
4.145	277.699	875.006
4.15	248.208	1063.56
4.155	183.645	1245.85
4.16	115.413	1385.82
4.165	64.7552	1473.31
4.17	34.0268	1519.63
4.175	17.3105	1540.41
4.18	8.69232	1547.18
4.185	4.35279	1546.73
4.19	2.18512	1542.65
4.195	1.10253	1536.78
4.2	0.559844	1530.03
4.205	0.28627	1522.86
4.21	0.14745	1515.51
4.215	0.0765119	1508.07
4.22	0.039999	1500.61
4.225	0.0210672	1493.16
4.23	0.0111789	1485.73
4.235	0.00597596	1478.33
4.24	0.00321829	1470.96
4.245	0.00174597	1463.63
4.25	0.000954166	1456.33
4.255	0.000525259	1449.07
4.26	0.000291252	1441.84
4.265	0.000162666	1434.65
4.27	9.15036e-05	1427.49
4.275	5.18418e-05	1420.37
4.28	2.95805e-05	1413.29
4.285	1.69981e-05	1406.24
