Values[alpha].InitialValue	Values[delta].InitialValue	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00446684	0.15	3861.09
0.00448155	0.15	3861.06
0.00449632	0.15	3861.03
0.00451113	0.15	3860.99
0.004526	0.15	3860.96
0.00454091	0.15	3860.93
0.00455587	0.15	3860.9
0.00457088	0.15	3860.86
0.00458594	0.15	3860.83
0.00460105	0.15	3860.8
0.00461621	0.15	3860.76
0.00463142	0.15	3860.73
0.00464668	0.15	3860.7
0.00466199	0.15	3860.66
0.00467735	0.15	3860.63
0.00469276	0.15	3860.59
0.00470822	0.15	3860.56
0.00472374	0.15	3860.53
0.0047393	0.15	3860.49
0.00475492	0.15	3860.46
0.00477058	0.15	3860.42
0.0047863	0.15	3860.39
0.00480207	0.15	3860.35
0.00481789	0.15	3860.32
0.00483377	0.15	3860.28
0.00484969	0.15	3860.25
0.00486567	0.15	3860.21
0.0048817	0.15	3860.18
0.00489779	0.15	3860.14
0.00491393	0.15	3860.11
0.00493012	0.15	3860.07
0.00494636	0.15	3860.03
0.00496266	0.15	3860
0.00497901	0.15	3859.96
0.00499541	0.15	3859.92
0.00501187	0.15	3859.89
0.00502839	0.15	3859.85
0.00504495	0.15	3859.81
0.00506158	0.15	3859.78
0.00507825	0.15	3859.74
0.00509498	0.15	3859.7
0.00511177	0.15	3859.67
0.00512861	0.15	3859.63
0.00514551	0.15	3859.59
0.00516247	0.15	3859.55
0.00517947	0.15	3859.52
0.00519654	0.15	3859.48
0.00521366	0.15	3859.44
0.00523084	0.15	3859.4
0.00524807	0.15	3859.36
0.00526537	0.15	3859.33
0.00528271	0.15	3859.29
0.00530012	0.15	3859.25
0.00531758	0.15	3859.21
0.0053351	0.15	3859.17
0.00535268	0.15	3859.13
0.00537032	0.15	3859.09
0.00538801	0.15	3859.05
0.00540576	0.15	3859.01
0.00542358	0.15	3858.97
0.00544145	0.15	3858.93
0.00545937	0.15	3858.89
0.00547736	0.15	3858.85
0.00549541	0.15	3858.81
0.00551352	0.15	3858.77
